R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Kheron Ophion | r71-nl-oph-ret-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) | live-r2-fabius-enhanced-r71-nl-oph-ret-0-hq-centurion-ret-command-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Contekar Terminator Elite > Command Retinue (does not occupy a separate Force Organisation slot) > Kheron Ophion | r71-nl-oph-ret-1-r71-nl-bj-39-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Malcharion, the War-Sage | r71-nl-mal-ret-0-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Malcharion, the War-Sage | r71-nl-mal-ret-0-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) | live-r2-fabius-enhanced-r71-nl-mal-ret-0-hq-centurion-ret-command-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Malcharion, the War-Sage | r71-nl-mal-ret-1-r71-nl-gen-4-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Malcharion, the War-Sage | r71-nl-mal-ret-1-r71-nl-bj-4-rule
Resolve | The squad gains the Stubborn special rule. | Resolve > Veteran Tactic (choose one) > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-tactic-resolve-rule
Assault Veterans | The squad gains the Furious Charge special rule. | Assault Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-tactic-assault-rule
Counter-Assault | The squad gains the Counter-Attack special rule. | Counter-Assault > Veteran Tactic (choose one) > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-tactic-counter-rule
Machine Killers | The squad gains the Tank Hunters special rule. | Machine Killers > Veteran Tactic (choose one) > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-tactic-machine-rule
Recon Veterans | The squad gains the Infiltrate special rule. | Recon Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-tactic-recon-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (+15 pts/model) > Individual Wargear > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-veteran-jump-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (Legion Assault Company — +10 pts/model) > Individual Wargear > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r71-nl-mal-ret-1-r35-assault-jp-veteran-jump-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | r19-cult-r71-nl-mal-ret-1-r45-cult-veteran-unit-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Veteran Squad > Command Retinue (does not occupy a separate Force Organisation slot) | live-r2-fabius-enhanced-r71-nl-mal-ret-1-veteran-unit-rule
Infiltrate | This unit has Infiltrate. | Shang > Legiones Astartes | r73-nl-rule-shang-infiltrate
Preferred Enemy (Independent Characters) | The model has Preferred Enemy against Independent Characters and uses the normal ProHammer Preferred Enemy rules against eligible Independent Character targets. | Shang > Legiones Astartes | r73-nl-rule-shang-preferred-enemy-independent-characters
Infiltrate | This unit has Infiltrate. | Terror Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Shang > Legiones Astartes | r73-nl-rule-r71-nl-shang-ret-0-r41-unit-viii-0-terror-squad-infiltrate
Preferred Enemy (Infantry) | The unit has Preferred Enemy against Infantry and uses the normal ProHammer Preferred Enemy rules against eligible Infantry targets. | Terror Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Shang > Legiones Astartes | r73-nl-rule-r71-nl-shang-ret-0-r41-unit-viii-0-terror-squad-preferred-enemy-infantry
Feel No Pain (5+) | The model has Feel No Pain (5+) and uses the normal ProHammer Feel No Pain rules. | Flaymaster Mawdrym Llansahai > Legiones Astartes | r73-nl-rule-mawdrym-feel-no-pain-5
Stealth | This unit has Stealth. | Konrad Curze, the Night Haunter > Legiones Astartes | r73-nl-rule-curze-stealth
Beyond Judgement | Under Horror Cult this unit purchases Beyond Judgement for +25 points. Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model; multiple Trophies penalties remain non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Command Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Konrad Curze, the Night Haunter | r73-nl-bj-60-rule
Infiltrate | This unit has Infiltrate. | Terror Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Konrad Curze, the Night Haunter > Legiones Astartes | r73-nl-rule-r71-nl-curze-ret-3-r41-unit-viii-0-terror-squad-infiltrate
Preferred Enemy (Infantry) | The unit has Preferred Enemy against Infantry and uses the normal ProHammer Preferred Enemy rules against eligible Infantry targets. | Terror Squad > Command Retinue (does not occupy a separate Force Organisation slot) > Konrad Curze, the Night Haunter > Legiones Astartes | r73-nl-rule-r71-nl-curze-ret-3-r41-unit-viii-0-terror-squad-preferred-enemy-infantry
Counter-Attack | This unit has Counter-Attack. | ANGEL'S TEARS SQUAD > Legiones Astartes | r74-ba-tears-rule-counter-attack
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Command Squad > RETINUE — choose up to one (no separate FOC slot) > RALDORON, THE BLOODED | r74-ba-ral-cmd-r71-nl-gen-10-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Command Squad > RETINUE — choose up to one (no separate FOC slot) > RALDORON, THE BLOODED | r74-ba-ral-cmd-r71-nl-bj-11-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Command Squad > RETINUE — choose up to one (no separate FOC slot) | live-r2-fabius-enhanced-r74-ba-ral-cmd-hq-centurion-ret-command-rule
